Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
11100,0.0013,0.0004,0.0003,6.05,6.4638,5.628,0.0006,5.673,5.636
11150,0.0008,0.0008,0.0005,6.1657,6.4548,5.6898,0.0005,5.807,5.8067
11200,0.0006,0.0006,0.0003,6.7042,6.0963,5.7096,0.0006,6.0418,5.7122
11250,0.001,0.0007,0.0003,6.159,5.7289,6.7627,0.0008,6.1056,5.9815
11300,0.0007,0.0009,0.0004,5.7608,5.7205,6.6074,0.0009,5.7194,5.7695
11350,0.0006,0.0003,0.0003,5.7429,5.8334,5.7523,0.0006,5.7739,6.9572
11400,0.0011,0.0004,0.0003,5.7706,5.7956,5.7906,0.0004,5.7625,5.805
11450,0.0008,0.0003,0.0003,7.2821,5.8557,5.8684,0.0009,5.8504,5.8766
11500,0.0017,0.0016,0.0003,7.3568,5.9464,9.0528,0.0008,9.4514,9.1729
11550,0.0009,0.0003,0.0003,6.6634,5.9649,6.5555,0.0006,5.9075,6.4686
11600,0.0015,0.0004,0.0003,5.9383,5.9258,6.0144,0.0006,6.0258,5.9928
11650,0.0008,0.0004,0.0002,6.0319,6.2755,5.9649,0.0004,5.8604,5.945
11700,0.0005,0.0003,0.0003,6.5105,6.4769,5.8079,0.0004,6.1432,6.9574
11750,0.0014,0.0014,0.0005,6.2101,6.3211,6.863,0.0008,7.7211,7.785
11800,0.0007,0.0003,0.0003,6.0805,6.7858,6.9593,0.0006,6.7211,6.4712
11850,0.001,0.0004,0.0003,6.2296,6.0191,6.005,0.0006,6.0547,6.8524
11900,0.0005,0.0004,0.0003,6.0027,6.1335,6.6805,0.0007,6.6733,6.1981
11950,0.0017,0.0004,0.0002,6.2936,6.1251,6.2205,0.0005,6.099,6.7826
12000,0.0006,0.0003,0.0003,6.075,6.1701,6.0674,0.0004,6.5081,7.3526
12050,0.0011,0.0011,0.0003,6.3186,6.2182,6.2575,0.0007,6.2096,6.1305
12100,0.001,0.0007,0.0003,6.3248,7.0136,6.333,0.0005,6.9449,7.1725
12150,0.0011,0.0004,0.0003,6.5296,6.3177,6.1958,0.0007,6.2245,6.1507
12200,0.0006,0.001,0.0003,7.3256,6.3025,6.6227,0.0005,6.2005,6.3551
12250,0.001,0.0005,0.0003,6.795,6.3128,6.2247,0.0004,6.2817,6.244
12300,0.0008,0.0008,0.0003,6.3758,7.0785,6.5158,0.0007,6.3314,6.4774
12350,0.0007,0.0003,0.0003,7.0138,6.3407,6.7178,0.0005,6.2995,6.2571
12400,0.0007,0.0004,0.0003,6.5007,8.102,6.6537,0.0006,6.3037,6.3209
12450,0.0005,0.0003,0.0003,6.84,6.3603,6.9462,0.0015,6.3927,6.3124
12500,0.0009,0.0006,0.0003,6.3497,7.0469,7.8724,0.0005,6.4059,6.3825
12550,0.0006,0.0003,0.0003,6.6399,6.5337,6.4382,0.0004,8.0949,6.3828
12600,0.0012,0.0003,0.0003,6.4551,6.3849,6.8029,0.001,6.3939,6.5581
12650,0.0005,0.0003,0.0003,6.8151,6.469,6.3902,0.0003,7.8439,6.6896
12700,0.0005,0.0004,0.0003,6.599,6.3268,6.7217,0.0004,7.1467,6.4946
12750,0.0005,0.0003,0.0003,6.3562,6.6993,6.4579,0.0004,7.3168,6.6619
12800,0.0006,0.0003,0.0003,6.6129,6.3623,7.4977,0.0008,6.9077,6.5442
12850,0.0016,0.0005,0.0003,6.5152,6.9981,6.7164,0.0005,6.5394,7.9645
12900,0.0005,0.0003,0.0003,6.7326,6.8883,6.9593,0.0008,7.9003,6.5223
12950,0.0007,0.0003,0.0003,6.5837,7.0648,7.0428,0.0006,6.7978,8.0006
13000,0.0006,0.0005,0.0004,8.7868,7.0087,8.9542,0.0007,6.7886,6.7091
